E0421 05:35:23.142099       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:35:23.142161       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:35:23.142223       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:35:23.142283       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:35:23.142342       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:35:23.142414       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:35:23.142477       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:35:23.142557       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:35:23.186236       1 nfd-worker.go:459] starting feature discovery...
I0421 05:35:23.186598       1 nfd-worker.go:471] feature discovery completed
I0421 05:36:23.330487       1 local.go:115] starting hooks...
E0421 05:36:23.332366       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:36:23.332978       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:36:23.333093       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:36:23.333193       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:36:23.333536       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:36:23.333630       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:36:23.333721       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:36:23.333799       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:36:23.333884       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:36:23.333965       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:36:23.334042       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:36:23.334107       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:36:23.334180       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:36:23.334247       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:36:23.394121       1 nfd-worker.go:459] starting feature discovery...
I0421 05:36:23.394709       1 nfd-worker.go:471] feature discovery completed
I0421 05:37:23.787573       1 local.go:115] starting hooks...
E0421 05:37:23.791018       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:37:23.791149       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:37:23.791240       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:37:23.791323       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:37:23.791388       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:37:23.791470       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:37:23.791553       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:37:23.791633       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:37:23.791721       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:37:23.791802       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:37:23.791879       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:37:23.791967       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:37:23.792038       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
E0421 05:37:23.792108       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp94s0/speed: invalid argument
I0421 05:37:23.846319       1 nfd-worker.go:459] starting feature discovery...
I0421 05:37:23.846933       1 nfd-worker.go:471] feature discovery completed
I0421 05:38:24.141811       1 local.go:115] starting hooks...
E0421 05:38:24.145002       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enp41s0f1np1/speed: invalid argument
E0421 05:38:24.145090       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f0/speed: invalid argument
E0421 05:38:24.145144       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ens6f1/speed: invalid argument
E0421 05:38:24.145195       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/enx32ebd410c63b/speed: invalid argument
E0421 05:38:24.145234       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp154s0/speed: invalid argument
E0421 05:38:24.145281       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp170s0f0/speed: invalid argument
E0421 05:38:24.145337       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp192s0/speed: invalid argument
E0421 05:38:24.145388       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp206s0/speed: invalid argument
E0421 05:38:24.145438       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp220s0/speed: invalid argument
E0421 05:38:24.145493       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp24s0/speed: invalid argument
E0421 05:38:24.145546       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp41s0f0/speed: invalid argument
E0421 05:38:24.145601       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp64s0/speed: invalid argument
E0421 05:38:24.145656       1 network.go:143] failed to read net iface attribute speed: read /host-sys/class/net/ibp79s0/speed: invalid argument
