NAMESPACE                        NAME                                                              READY   STATUS                     RESTARTS         AGE     IP               NODE              NOMINATED NODE   READINESS GATES
s-jain-training-10               ml-pipeline-ui-artifact-fb8c99584-chtck                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.151   jain-dgx-server   <none>           <none>
s-jain-training-10               ml-pipeline-visualizationserver-6659778c46-gwqgg                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.133   jain-dgx-server   <none>           <none>
s-jain-training-10               projectday3triton-0                                               2/2     Running                    0                100m    10.233.120.13    jain-dgx-server   <none>           <none>
s-jain-training-11               ml-pipeline-ui-artifact-fb8c99584-ngz7m                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.165   jain-dgx-server   <none>           <none>
s-jain-training-11               ml-pipeline-visualizationserver-6659778c46-5tc72                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.141   jain-dgx-server   <none>           <none>
s-jain-training-12               ml-pipeline-ui-artifact-fb8c99584-ft7l7                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.229   jain-dgx-server   <none>           <none>
s-jain-training-12               ml-pipeline-visualizationserver-6659778c46-7swdp                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.139   jain-dgx-server   <none>           <none>
s-jain-training-12               triton-0                                                          2/2     Running                    0                101m    10.233.120.11    jain-dgx-server   <none>           <none>
s-jain-training-13               ml-pipeline-ui-artifact-fb8c99584-x7zjk                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.158   jain-dgx-server   <none>           <none>
s-jain-training-13               ml-pipeline-visualizationserver-6659778c46-pkphk                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.120.44    jain-dgx-server   <none>           <none>
s-jain-training-14               ml-pipeline-ui-artifact-fb8c99584-gszlf                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.231   jain-dgx-server   <none>           <none>
s-jain-training-14               ml-pipeline-visualizationserver-6659778c46-cgm99                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.244   jain-dgx-server   <none>           <none>
s-jain-training-15               ml-pipeline-ui-artifact-fb8c99584-4fzdt                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.140   jain-dgx-server   <none>           <none>
s-jain-training-15               ml-pipeline-visualizationserver-6659778c46-kqjf6                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.171   jain-dgx-server   <none>           <none>
s-jain-training-16               ml-pipeline-ui-artifact-fb8c99584-2kvn7                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.199   jain-dgx-server   <none>           <none>
s-jain-training-16               ml-pipeline-visualizationserver-6659778c46-rj7r5                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.191   jain-dgx-server   <none>           <none>
s-jain-training-17               ml-pipeline-ui-artifact-fb8c99584-pfvt2                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.228   jain-dgx-server   <none>           <none>
s-jain-training-17               ml-pipeline-visualizationserver-6659778c46-8hxtb                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.237   jain-dgx-server   <none>           <none>
s-jain-training-18               ml-pipeline-ui-artifact-fb8c99584-xfp4v                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.250   jain-dgx-server   <none>           <none>
s-jain-training-18               ml-pipeline-visualizationserver-6659778c46-trx6z                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.177   jain-dgx-server   <none>           <none>
s-jain-training-19               deepstream1-0                                                     2/2     Running                    0                3h52m   10.233.120.42    jain-dgx-server   <none>           <none>
s-jain-training-19               ml-pipeline-ui-artifact-fb8c99584-fb5vg                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.217   jain-dgx-server   <none>           <none>
s-jain-training-19               ml-pipeline-visualizationserver-6659778c46-qv4mq                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.163   jain-dgx-server   <none>           <none>
s-jain-training-2                ml-pipeline-ui-artifact-fb8c99584-r7ghh                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.207   jain-dgx-server   <none>           <none>
s-jain-training-2                ml-pipeline-visualizationserver-6659778c46-fqp8c                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.192   jain-dgx-server   <none>           <none>
s-jain-training-2                test-0                                                            2/2     Running                    0                101m    10.233.120.5     jain-dgx-server   <none>           <none>
s-jain-training-20               ml-pipeline-ui-artifact-fb8c99584-fnb7d                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.120.17    jain-dgx-server   <none>           <none>
s-jain-training-20               ml-pipeline-visualizationserver-6659778c46-s7kkh                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.148   jain-dgx-server   <none>           <none>
s-jain-training-21               ml-pipeline-ui-artifact-fb8c99584-n78dd                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.198   jain-dgx-server   <none>           <none>
s-jain-training-21               ml-pipeline-visualizationserver-6659778c46-9gckh                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.236   jain-dgx-server   <none>           <none>
s-jain-training-21               streamserver-0                                                    2/2     Running                    0                8m37s   10.233.120.41    jain-dgx-server   <none>           <none>
s-jain-training-22               ml-pipeline-ui-artifact-fb8c99584-vl6qj                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.135   jain-dgx-server   <none>           <none>
s-jain-training-22               ml-pipeline-visualizationserver-6659778c46-dk5w5                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.120.63    jain-dgx-server   <none>           <none>
s-jain-training-23               ml-pipeline-ui-artifact-fb8c99584-zv67l                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.120.37    jain-dgx-server   <none>           <none>
s-jain-training-23               ml-pipeline-visualizationserver-6659778c46-pswmv                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.224   jain-dgx-server   <none>           <none>
s-jain-training-23               new1-0                                                            2/2     Running                    0                102m    10.233.120.49    jain-dgx-server   <none>           <none>
s-jain-training-24               ml-pipeline-ui-artifact-fb8c99584-8zgtm                           2/2     Running                    4 (6h52m ago)    2d7h    10.233.119.219   jain-dgx-server   <none>           <none>
s-jain-training-24               ml-pipeline-visualizationserver-6659778c46-lflvp                  2/2     Running                    4 (6h52m ago)    2d7h    10.233.120.16    jain-dgx-server   <none>           <none>
