NAMESPACE                        NAME                                                              READY   STATUS                     RESTARTS         AGE
kubeflow                         notebook-controller-deployment-7cdb9d9f7b-kbdcc                   2/2     Running                    19 (45h ago)     2d23h
kubeflow                         profiles-deployment-7cf8b9b794-g2llh                              3/3     Running                    41 (45h ago)     2d23h
kubeflow                         tensorboard-controller-deployment-697c566bd5-478bw                3/3     Running                    28 (45h ago)     2d23h
kubeflow                         tensorboards-web-app-deployment-67bf5977c9-49g85                  2/2     Running                    8 (45h ago)      2d23h
kubeflow                         training-operator-64886bdddc-kkm8j                                1/1     Running                    4 (45h ago)      2d23h
kubeflow                         volumes-web-app-deployment-7f8c75d5b-44vnt                        2/2     Running                    8 (45h ago)      2d23h
kubeflow                         workflow-controller-56cc57796-kl4vb                               2/2     Running                    22 (4h38m ago)   2d23h
ln-s-jaincollege-ece-123         work                                                              1/1     Running                    0                12m
s-jaincollege-it-6080            ml-pipeline-ui-artifact-fb8c99584-hqgrd                           2/2     Running                    0                173m
s-jaincollege-it-6080            ml-pipeline-visualizationserver-6659778c46-gr42h                  2/2     Running                    0                173m
