NAMESPACE                        NAME                                                              READY   STATUS      RESTARTS       AGE   IP               NODE              NOMINATED NODE   READINESS GATES
kubeflow                         katib-controller-7964698977-lvbjp                                 1/1     Running     1 (12h ago)    16h   10.233.119.170   jain-dgx-server   <none>           <none>
kubeflow                         katib-db-manager-57474ccbbf-mpmbb                                 1/1     Running     3 (83m ago)    16h   10.233.119.161   jain-dgx-server   <none>           <none>
kubeflow                         katib-mysql-66c8cdff4f-4px7x                                      1/1     Running     1 (88m ago)    16h   10.233.119.174   jain-dgx-server   <none>           <none>
kubeflow                         katib-ui-57d77d7d75-jqg24                                         2/2     Running     22 (84m ago)   16h   10.233.119.165   jain-dgx-server   <none>           <none>
kubeflow                         kserve-controller-manager-96b896c66-txffr                         2/2     Running     2 (12h ago)    16h   10.233.119.176   jain-dgx-server   <none>           <none>
kubeflow                         kserve-models-web-app-9fbcd79f5-xmdlm                             2/2     Running     2 (12h ago)    16h   10.233.119.135   jain-dgx-server   <none>           <none>
kubeflow                         kubeflow-pipelines-profile-controller-6f6bc888df-qmxng            1/1     Running     1 (12h ago)    16h   10.233.119.131   jain-dgx-server   <none>           <none>
kubeflow                         metacontroller-0                                                  1/1     Running     1 (12h ago)    16h   10.233.119.147   jain-dgx-server   <none>           <none>
kubeflow                         metadata-envoy-deployment-7b49bdb748-v98w4                        1/1     Running     1 (12h ago)    16h   10.233.119.175   jain-dgx-server   <none>           <none>
kubeflow                         metadata-grpc-deployment-6d744c66bb-wfqxl                         2/2     Running     28 (83m ago)   16h   10.233.119.149   jain-dgx-server   <none>           <none>
kubeflow                         metadata-writer-5bfdbf79b7-9n4sp                                  2/2     Running     17 (83m ago)   16h   10.233.119.167   jain-dgx-server   <none>           <none>
kubeflow                         minio-549846c488-rbjp2                                            2/2     Running     2 (12h ago)    16h   10.233.119.186   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-86d69497fc-r96w7                                      2/2     Running     9 (12h ago)    16h   10.233.119.195   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-persistenceagent-5789446f9c-zdcj5                     2/2     Running     13 (12h ago)   16h   10.233.119.153   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-scheduledworkflow-fb9fbd76b-gtbw4                     2/2     Running     2 (12h ago)    16h   10.233.119.191   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-ui-74fcbdddd9-xsl27                                   2/2     Running     2 (12h ago)    16h   10.233.119.187   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-viewer-crd-bdf696cb9-pz4cc                            2/2     Running     19 (84m ago)   16h   10.233.119.196   jain-dgx-server   <none>           <none>
kubeflow                         ml-pipeline-visualizationserver-845d745b46-md48c                  2/2     Running     2 (12h ago)    16h   10.233.119.190   jain-dgx-server   <none>           <none>
kubeflow                         mysql-5f968d4688-ffd8d                                            2/2     Running     2 (88m ago)    16h   10.233.119.189   jain-dgx-server   <none>           <none>
kubeflow                         notebook-controller-deployment-7cdb9d9f7b-kbdcc                   2/2     Running     7 (84m ago)    16h   10.233.119.177   jain-dgx-server   <none>           <none>
kubeflow                         profiles-deployment-7cf8b9b794-g2llh                              3/3     Running     26 (84m ago)   16h   10.233.119.133   jain-dgx-server   <none>           <none>
kubeflow                         tensorboard-controller-deployment-697c566bd5-478bw                3/3     Running     12 (84m ago)   16h   10.233.119.178   jain-dgx-server   <none>           <none>
kubeflow                         tensorboards-web-app-deployment-67bf5977c9-49g85                  2/2     Running     2 (12h ago)    16h   10.233.119.179   jain-dgx-server   <none>           <none>
kubeflow                         training-operator-64886bdddc-kkm8j                                1/1     Running     1 (12h ago)    16h   10.233.119.184   jain-dgx-server   <none>           <none>
kubeflow                         volumes-web-app-deployment-7f8c75d5b-44vnt                        2/2     Running     2 (12h ago)    16h   10.233.119.180   jain-dgx-server   <none>           <none>
kubeflow                         workflow-controller-56cc57796-kl4vb                               2/2     Running     8 (84m ago)    16h   10.233.119.129   jain-dgx-server   <none>           <none>
